domain_name, registrar, orginization, name, address, city, state, zip_code, country_name
"sparklight.net","NETWORK SOLUTIONS, LLC.","None","PERFECT PRIVACY, LLC","5335 Gate Parkway care of Network Solutions PO Box 459","Jacksonville","FL","None","US"
"univerzal.net","NameSilo, LLC","See PrivacyGuardian.org","Domain Administrator","1928 E. Highland Ave. Ste F104 PMB# 255","Phoenix","AZ","None","US"
"ip-92-222-150.eu","None","None","None","None","None","None","None","None"
"e2enetworks.net.in","Endurance Domains Technology LLP","None","None","None","None","Haryana","None","IN"
"izm.io","GANDI SAS","None","None","None","None","None","None","None"
"mymobiledesigner.com","NameSilo, LLC","See PrivacyGuardian.org","Domain Administrator","1928 E. Highland Ave. Ste F104 PMB# 255","Phoenix","AZ","None","US"
"layerspeed.com","PDR Ltd. d/b/a PublicDomainRegistry.com","PT. INFINITY SARANA SUKSES","Kalpin E. Silaen","Rukan Permata Senayan blok A No.9","Kebayoran Baru","Jakarta","None","ID"
"rootnet.io","Key-Systems GmbH","None","None","None","None","None","None","None"
"no-reverse-dns-configured.com","ABOVE.COM PTY LTD.","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","None","REDACTED FOR PRIVACY"
"bigtimestuff.com","Register.com, Inc.","ohip creations","walker, jeff","713 W PIERCE ST","PHOENIX","AZ","None","US"
"ip-reverse.com","Wild West Domains, LLC","Domains By Proxy, LLC","Registration Private","['DomainsByProxy.com', '14455 N. Hayden Road']","Scottsdale","Arizona","None","US"
"claircos.co.jp","None","None","None","None","None","None","None","None"
"6va.org","PDR Ltd. d/b/a PublicDomainRegistry.com","iConvergence","Pignard","Marrakech","Marrakech","Marrakech-Tensift-El Haouz","None","MA"
"poneytelecom.eu","None","None","None","None","None","None","None","None"
"rapellys.biz","Vautron Rechenzentrum AG","None","None","None","None","None","None","None"
"nmsrv.com","Network Solutions, LLC","Gossamer Threads Inc.","Gossamer Threads Inc.","455 Granville St.","Vancouver","BC","None","CA"
"nazwa.pl","nazwa.pl sp. z o.o.","None","None","None","None","None","None","None"
"tenten.vn","None","None","None","None","None","None","None","None"
"article-buddy.com","GoDaddy.com, LLC","None","None","None","None","RO","None","RO"
"103.in-addr.arpa","None","None","None","None","None","None","None","None"
"t-ipconnect.de","None","None","None","None","None","None","None","None"
"xlhdns.com","GoDaddy.com, LLC","None","None","None","None","Ohio","None","US"
"tinfeqr.com","GoDaddy.com, LLC","None","None","None","None","Ohio","None","US"
"bushido.ca","Go Get Canada Domain Registrar Ltd.","None","None","None","None","None","None","None"
"cantv.net","TUCOWS, INC.","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","Miranda","None","VE"
"marseille.fr","GANDI","None","None","None","None","None","None","None"
"rr.com","CSC CORPORATE DOMAINS, INC.","Charter Communications Operating, LLC","Domain Admin","12405 Powerscourt Drive","Saint Louis","MO","None","US"
